ID             CODE 
3630000000001  H    
3630000000003  J    
3630000000005  P    
3630000000007  U    
3630000000008  Q    
3630000000009  D    
3630000000011  R    
3630000000013  C    
3630000000014  G    
3630000000016  T    
3630000000017  W    
3630000000018  A    
3630000000019  N    
3630000000020  B    
3630000000021  V    
3630011872036  E    
3630011872037  F    
3630011872038  K    
3630011872039  M    
